m1_surv,m2_surv
0.21446,0.87509
0.21446,0.87459
0.21446,0.87459
0.21446,0.87408
0.21446,0.87408
0.21446,0.87408
0.21446,0.87408
0.21446,0.87408
0.21446,0.87408
0.21446,0.87408
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87358
0.21446,0.87307
0.21446,0.87307
0.21446,0.87307
0.21446,0.87307
0.21446,0.87307
0.21446,0.87307
0.21446,0.87256
0.21446,0.87205
0.21446,0.87205
0.21446,0.87154
0.21446,0.87154
0.21446,0.87154
0.21446,0.87154
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87102
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.87051
0.21446,0.86999
0.21446,0.86999
0.21446,0.86999
0.21446,0.86999
0.21446,0.86999
0.21446,0.86999
0.21446,0.86999
0.21446,0.86999
0.21446,0.86999
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
0.21446,0.86948
